RowNumber,Geography,Gender,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBin,NumOfProducts,Age
1,France,Female,2,0.0,True,True,101348.88,True,Fair,1,42
2,Spain,Female,1,83807.86,False,True,112542.58,False,Fair,1,41
3,France,Female,8,159660.8,True,False,113931.57,True,Poor,3,42
4,France,Female,1,0.0,False,False,93826.63,False,Good,2,39
5,Spain,Female,2,125510.82,True,True,79084.1,False,Exceptional,1,43
6,Spain,Male,8,113755.78,True,False,149756.71,True,Fair,2,44
7,France,Male,7,0.0,True,True,10062.8,False,Exceptional,2,50
8,Germany,Female,4,115046.74,True,False,119346.88,True,Poor,4,29
9,France,Male,4,142051.07,False,True,74940.5,False,Poor,2,44
10,France,Male,2,134603.88,True,True,71725.73,False,Good,1,27
11,France,Male,6,102016.72,False,False,80181.12,False,Poor,2,31
12,Spain,Male,3,0.0,True,False,76390.01,False,Poor,2,24
13,France,Female,10,0.0,True,False,26260.98,False,Poor,2,34
14,France,Female,5,0.0,False,False,190857.79,False,Poor,2,25
15,Spain,Female,7,0.0,True,True,65951.65,False,Fair,2,35
16,Germany,Male,3,143129.41,False,True,64327.26,False,Fair,2,45
17,Germany,Male,1,132602.88,True,False,5097.67,True,Fair,1,58
18,Spain,Female,9,0.0,True,True,14406.41,False,Poor,2,24
19,Spain,Male,6,0.0,False,False,158684.81,False,Fair,1,45
20,France,Female,6,0.0,True,True,54724.03,False,Good,2,24
21,France,Male,8,0.0,True,True,170886.17,False,Good,2,41
22,Spain,Female,8,0.0,True,False,138555.46,False,Fair,2,32
23,Spain,Female,4,0.0,True,False,118913.53,True,Poor,1,38
24,France,Male,3,0.0,False,True,8487.75,False,Fair,2,46
25,France,Female,5,0.0,True,True,187616.16,False,Exceptional,1,38
26,France,Male,3,0.0,False,True,124508.29,False,Poor,2,25
27,Germany,Male,2,136815.64,True,True,170041.95,False,Very Good,1,36
28,France,Male,9,0.0,False,False,38433.35,False,Poor,2,44
29,Germany,Female,3,141349.43,True,True,100187.43,False,Poor,1,43
30,France,Male,0,59697.17,True,True,53483.21,False,Poor,2,29
31,Spain,Female,3,0.0,True,False,140469.38,True,Fair,3,39
32,France,Male,7,85311.7,False,True,156731.91,False,Poor,1,36
33,Germany,Male,9,110112.54,False,False,81898.81,False,Poor,2,41
34,Spain,Female,6,0.0,True,True,34410.55,False,Poor,2,42
35,Spain,Female,9,0.0,True,True,142033.07,False,Good,2,29
36,France,Female,0,134264.04,True,False,27822.99,True,Poor,1,45
37,Spain,Male,3,145260.23,False,True,114066.77,False,Poor,1,31
38,Spain,Male,7,76548.6,False,True,98453.45,False,Exceptional,1,33
39,France,Male,7,0.0,True,True,40812.9,False,Exceptional,1,36
40,Germany,Male,6,70349.48,False,True,178074.04,False,Fair,2,41
41,Spain,Male,4,0.0,True,False,70154.22,False,Poor,1,40
42,France,Female,8,122522.32,False,False,181297.65,True,Poor,1,51
43,France,Female,2,117419.35,True,True,94153.83,False,Poor,1,61
44,France,Female,2,131394.56,False,False,194365.76,True,Exceptional,1,49
45,Spain,Female,5,155931.11,True,True,158338.39,False,Fair,1,61
46,Germany,Female,4,109421.13,True,True,126517.46,False,Very Good,2,32
47,Germany,Female,9,112045.67,True,True,119708.21,True,Exceptional,1,27
48,Germany,Female,9,137843.8,True,True,117622.8,True,Fair,1,39
49,Germany,Male,2,103391.38,False,True,90878.13,False,Poor,1,38
50,Germany,Female,2,103769.22,True,False,194099.12,False,Very Good,2,37
51,Germany,Male,10,116363.37,True,False,198059.16,False,Good,2,44
52,Germany,Male,5,146050.97,False,False,86424.57,False,Fair,2,36
53,France,Female,5,0.0,False,False,116978.19,False,Very Good,2,33
54,Germany,Male,8,125561.97,False,False,164040.94,True,Fair,1,41
55,Germany,Male,1,98495.72,True,False,40014.76,True,Fair,1,42
56,France,Male,1,125211.92,True,True,113410.49,False,Fair,1,43
57,France,Male,5,127864.4,True,False,87107.57,False,Fair,1,45
58,Germany,Male,0,75888.2,False,False,45613.75,False,Good,1,19
59,Spain,Female,4,0.0,True,False,1643.11,True,Poor,1,66
60,France,Male,4,40685.92,True,True,46775.28,False,Fair,1,51
61,Germany,Male,5,136857.0,False,False,84509.57,False,Very Good,1,35
62,Germany,Female,9,152328.88,False,False,126494.82,False,Good,2,27
63,Spain,Male,1,56084.69,False,False,178798.13,False,Poor,2,33
64,Spain,Male,8,78707.16,True,True,99398.36,False,Good,1,56
65,Germany,Male,4,109166.37,True,True,92840.67,False,Fair,1,26
66,Germany,Female,6,169831.46,True,True,27758.36,False,Very Good,2,36
67,Germany,Female,1,101633.04,True,False,110431.51,False,Fair,1,34
68,Germany,Male,10,123180.01,True,True,196673.28,False,Good,2,43
69,Germany,Female,5,150725.53,False,True,113656.85,False,Fair,2,35
70,France,Female,8,98373.26,True,False,18203.0,False,Good,1,21
71,Germany,Male,2,133745.44,True,False,28373.86,True,Good,4,58
72,France,Male,6,0.0,True,False,33953.87,False,Exceptional,1,29
73,Spain,Female,0,163607.18,False,True,44203.55,False,Fair,1,37
74,Germany,Female,5,157780.84,True,True,58426.81,False,Fair,2,25
75,France,Male,9,0.0,False,True,145562.4,False,Poor,2,36
76,France,Female,1,178718.19,True,False,22388.0,False,Good,2,21
77,France,Male,8,0.0,True,True,139161.64,False,Fair,2,55
78,France,Female,9,0.0,True,True,148210.64,False,Good,1,32
79,Spain,Male,5,77253.22,False,True,194239.63,False,Very Good,1,33
80,Germany,Female,10,122189.66,True,False,98301.61,False,Poor,2,41
